Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-health.gov.il.fhir.core.json	66923	-	0	0	0	0	0	0	16	458	0	0	0	0	0	0	0	2	0	0	981	2974	0	0	1	29	2	14
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-aspirin-intolerance.json	2047	18	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	38	103	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-cat-dander-allergy.json	1992	19	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	56	55	0	0	1	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-latex-allergy.json	2010	9	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	43	54	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-no-known-allergy.json	953	10	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	37	56	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-penut-allergy-resolved.json	2327	17	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	46	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-city-symbol.json	173511	838	6	0	1	0	0	0	73	1443	0	0	4	0	0	0	0	7	0	0	2347	86544	0	0	0	137	0	6
fsh-generated/resources/CodeSystem-department-type-moh.json	298221	1120	2	0	0	0	0	0	34	1142	0	0	3	0	0	0	0	1	0	1	3304	3795	0	0	0	213	0	3
fsh-generated/resources/CodeSystem-hebrew-date-day.json	2170	16	0	0	0	0	0	0	3	18	0	0	1	0	0	0	0	0	0	0	91	327	0	0	1	7	0	0
fsh-generated/resources/CodeSystem-hebrew-date-month.json	1296	11	0	0	0	0	0	0	1	9	0	0	1	0	0	0	0	0	0	0	75	425	0	0	0	0	0	0
