Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-health.gov.il.fhir.core.json	66918	-	0	0	0	0	0	0	3	68	0	0	0	0	0	0	0	1	0	0	221	327	0	0	0	8	0	7
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-aspirin-intolerance.json	2047	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	14	26	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-cat-dander-allergy.json	1992	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-latex-allergy.json	2010	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-no-known-allergy.json	953	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	17	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-allergyIntolerance-penut-allergy-resolved.json	2327	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-city-symbol.json	173511	154	2	0	0	0	0	0	7	275	0	0	1	0	0	0	0	2	0	0	589	56760	0	0	0	23	0	5
fsh-generated/resources/CodeSystem-department-type-moh.json	298221	168	1	0	0	0	0	0	9	237	0	0	1	0	0	0	0	3	0	0	811	511	0	0	0	38	0	5
fsh-generated/resources/CodeSystem-hebrew-date-day.json	2170	4	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	17	87	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-hebrew-date-month.json	1296	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	102	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-icd9il.json	19272	13	0	0	0	0	0	0	1	21	0	0	1	0	0	0	0	0	0	0	59	90	0	0	0	1	0	1
